PuzzleId,FEN,Moves,Rating,Title,Themes,Description,Stars,User,GameURL
000o3,8/2p1k3/6p1/1p1P1p2/1P3P2/3K2Pp/7P/8 b - - 1 43,e7d6 d3d4 g6g5 f4g5,944,Zugzwang en Final Peones,crushing endgame pawnEndgame short zugzwang,Final de peones básico utilizando el concepto de zugzwang.,5,Lichess,https://lichess.org/BAY91mF3/black#86
000qP,8/7R/8/5p2/4bk1P/8/2r2K2/6R1 w - - 7 51,f2f1 f4f3 f1e1 c2r1 e1d2 c1g1,1999,Rayos X al Rey,crushing endgame exposedKing long skewer,Final con rey expuesto y ataque de rayos X (enfilada).,5,Lichess,https://lichess.org/r4xUR6fC#101
000rO,3R4/8/K7/pB2b3/1p6/1P2k3/3p4/8 w - - 4 58,a6a5 e5c7 a5b4 c7d8,1110,Tenedor Maestro en Final,crushing endgame fork master short,Ataque doble (tenedor) ganador en final de partida maestra.,5,Lichess,https://lichess.org/tzeeBEc2#115
000rZ,2kr1b1r/p1p2pp1/2pqb3/7p/3N2n1/2NPB3/PPP2PPP/R2Q1RK1 w - - 2 13,d4e6 d6h2,739,Mate en Uno Apertura,kingsideAttack mate mateIn1 oneMove opening,Defensa Escandinava: Mate en 1 movimiento en la apertura (muy fácil).,5,Lichess,https://lichess.org/seIMDWkD#25
00143,r2q1rk1/5ppp/1np5/p1b5/2p1B3/P7/1P3PPP/R1BQ1RK1 b - - 1 17,d8f6 d1h5 h7h6 h5c5,1780,Ventaja Posicional Escocesa,advantage middlegame short,Apertura Escocesa: Medio juego nivel intermedio para obtener ventaja posicional.,5,Lichess,https://lichess.org/jcuxlI63/black#34
0017R,r2qk2r/pp2ppbp/1n1p2p1/3Pn5/2P5/2NBBP1P/PP3P2/R2QK2R b KQkq - 0 12,e5c4 d3c4 b6c4 d1a4 d8d7 a4c4,1677,Secuencia Táctica de Tenedor,advantage fork long middlegame,Defensa Alekhine: Secuencia táctica larga de tenedor (ataque doble).,5,Lichess,https://lichess.org/ol84k0z4/black#24
0018P,5R2/1p6/p1p5/2P1rk2/2K3p1/2P1p1P1/1P5P/8 b - - 1 44,f5e6 f8e8 e6f5 e8e5 f5e5 c4d3 e5d5 d3e3 a6a5 e3f4 d5c4 f4g4,1904,Rey Expuesto en Final,crushing endgame exposedKing rookEndgame veryLong,Final de torres complejo explotando al rey expuesto.,5,Lichess,https://lichess.org/Xg1Gtfjr/black#88
0018S,2kr3r/pp3p2/4p2p/1N1p2p1/3Q4/1P1P4/2q2PPP/5RK1 b - - 1 20,b7b6 d4a1 a7a5 f1c1,2566,Clavada Mortal Nivel Alto,advantage endgame pin short,Final de muy alto nivel explotando una clavada.,5,Lichess,https://lichess.org/H1ARO2GL/black#40
001Fg,2R2r1k/pQ4pp/5rpp/3B4/q2n4/7P/P4PP1/5RK1 w - - 3 30,c8c7 d4e2 g1h2 a4f4 h2h1 e2g3 f2g3 f4f1,1516,Consolidando Ventaja Medio Juego,advantage middlegame veryLong,Maniobra larga de medio juego para consolidar ventaja.,5,Lichess,https://lichess.org/y0QalMAw#59
001Hi,6k1/pp1r1pp1/1qp1p2p/4P2P/5Q2/1P4R1/P1r1/4,b6d4 f4f6 d4f2 f6f2 d2f2 g1f2,2389,Clavada en Final Experto,advantage endgame long pin,Explotación de clavada en final largo de nivel experto.,5,Lichess,https://lichess.org/tUkE0z1z/black#46
001KR,6Qk/p1p3pp/4N3/1p6/2q1r1n1/2B5/PP4PP/3R1R1K b - - 0 28,h8g8 f1f8,565,Mate Básico Tras Captura,mate mateIn1 middlegame oneMove,Mate en 1 movimiento básico tras captura.,5,Lichess,https://lichess.org/TaT1Zl7z/black#56
001Oo,6k1/4p1bp/6p1/1p1pP3/1PpPp3/2P1P3/Q2B1KPP/3q4 b - - 2 23,d1a4 a2a4 b5a4 b4b5 g8f7 b5b6,2078,Jugada Tranquila Estratégica,crushing endgame long quietMove,Final estratégico definido por una jugada tranquila.,5,Lichess,https://lichess.org/8IKs77O9/black#46
001Wz,4r1k1/5ppp/r1p5/p1n1RP5/8/2P2N1P/2P3P1/3R2K1 b - - 0 21,e8e5 d1d8 e5e8 d8e8,1118,Mate del Pasillo Final,backRankMate endgame mate mateIn2 short,Mate del pasillo en 2 jugadas en el final.,5,Lichess,https://lichess.org/84RH3LaP/black#42
001XA,1qr2rk1/pb2bppp/8/8/2p1N3/P1Bn3P/2Q2PBP/1R3RK1 b - - 3 23,b8c7 b1b7 c7b7 e4f6 e7f6 g2b7,1667,Ataque Descubierto con Sacrificio,crushing discoveredAttack long master middlegame sacrifice,Ataque a la descubierta con sacrificio de pieza.,5,Lichess,https://lichess.org/KZRiN695/black#46
001aK,6k1/5p2/4p3/P1B5/2P4P/4P3/5P1K/5K2 b - - 1 33,d2e2 f1e2 g3g2 e3e4 f3d4 e2f2,2027,Movimiento Silencioso Final,crushing endgame hangingPiece long quietMove,Final avanzado definido por un movimiento silencioso.,5,Lichess,https://lichess.org/Epr0AiEh/black#66
001cr,8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38,c5c4 d7e8,1606,Mate Final de Alfiles,bishopEndgame endgame mate mateIn1 oneMove,Mate en 1 jugada en final de alfiles.,5,Lichess,https://lichess.org/7FFNwibw/black#76
001gi,r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,c7a8 a5c3,820,Mate de Boden Rápido,bodenMate hangingPiece mate mateIn1 middlegame oneMove,Defensa Siciliana: Patrón de Mate de Boden en 1 jugada (principiante).,5,Lichess,https://lichess.org/1sV2Hr22#35
001h8,2r3k1/2r4p/4p1p1/1p1q1pP1/p1bP1P1Q/P6R/5B2/2R3K1 b - - 5 34,c4e2 h4h7 c7h7 c1c8 g87 c8c7,1780,Sacrificio y Desviación,crushing deflection kingsideAttack long middlegame sacrifice,Ataque al flanco de rey con sacrificio y desviación.,5,Lichess,https://lichess.org/IxCahP6X/black#68
001kG,rnbq3r/1p2bkpp/p4n2/8/2pNP3/2N5/PPP3PP/R1BQ1RK1 b - - 1 11,e7c5 d1h5 f7g8 h5c5,1904,Clavada en Apertura Siciliana,advantage opening pin short,Defensa Siciliana: Apertura con tema táctico de clavada para ganar ventaja.,5,Lichess,https://lichess.org/xXAEaVto/black#22
001m3,7r/6k1/2b1pp2/8/P1N3p1/5nP1/4RP2/Q4K2 w - - 2 38,e2e6 h8h1 f1e2 h1a1,1459,Enfilada Ganadora en Final,advantage endgame short skewer,Final ganado mediante ataque de rayos X (enfilada).,5,Lichess,https://lichess.org/LELOz22f#75
001om,5r1k/pp4pp/5p2/1BbQ5/6K1/7P/1PP3P1/3R3R w - - 2 26,g4h4 c5f2 g2g3 f2g3,1018,Mate Sencillo en Dos,mate mateIn2 middlegame short,Mate sencillo en 2 jugadas en medio juego.,5,Lichess,https://lichess.org/VWOIWtIh#51
001pC,r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18,f1g1 h3f2,895,Mate de la Coz,mate mateIn1 middlegame oneMove smotheredMate,Defensa Siciliana: Mate de la coz en 1 jugada (clásico).,5,Lichess,https://lichess.org/d04UP3XD#35
001u3,2r3k1/p1q2pp1/6p/a52/2nP1P2/4P1P1/5K1P/2B1N3 b - - 3 33,c7b6 a6c8 g8h7 c8b7,2175,Pieza Colgada Nivel Experto,advantage hangingPiece middlegame short,Aprovechamiento de pieza colgada nivel experto.,5,Lichess,https://lichess.org/BBn6ipaK/black#66
001uD,6k1/1p3pp1/1p5p/2r1p3/2n5/r3PN2/2RnNPPP/2R3K1 b - - 1 32,f7f6 f3d2 c4d2 c2d2 c5c1 e2c1,1832,Consolidar Ventaja Larga,advantage long middlegame,Secuencia larga de medio juego para consolidar ventaja.,5,Lichess,https://lichess.org/2qkVLUl6/black#64
001w5,1rb2rk1/q5P1/4p2p/3p3p/3P4/2P5/2QK3P/3R2R1 b - - 0 29,f8f7 c2h7 g8h7 g7g8q,1039,Coronación y Atracción Mate,advancedPawn attraction mate mateIn2 middlegame promotion short,Coronación de peón que atrae al rey para dar mate.,5,Lichess,https://lichess.org/0e1vxAEn/black#58
001wR,6nr/pp3p1p/k1p5/8/1QN5/2P1P3/4KPqP/8 b - - 5 26,b7b5 b4a5 a6b7 c4d6 b7b8 a5d8,1212,Mate en Tres Final,endgame long mate mateIn3,Secuencia de mate en 3 jugadas contra el rey.,5,Lichess,https://lichess.org/ruvbd9JW/black#52
001wb,r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17,h2g3 g6h5,1252,Apertura de Líneas Mate,mate mateIn1 middlegame oneMove,Apertura Ruy López: Mate en 1 movimiento tras apertura de líneas.,5,Lichess,https://lichess.org/hNzYRMWP#33
001wr,r4rk1/p3ppbp/Pp1q1np1/3PpbB1/2B5/2N5/1PPQ1PPP/3RR1K1 w - - 4 18,f2f3 d6c5 g1h1 c5c4,947,Tenedor en Partida Maestra,advantage fork master masterVsMaster middlegame short,Defensa Pirc: Ataque doble (tenedor) en partida de maestros.,5,Lichess,https://lichess.org/KnJ2mojX#35
001xO,k1r1b3/p1r1nppp/1p1qpn2/2Np4/1P1P4/P3NBQ1/5PPP/2R3K1 w - - 0 19,d3a6 b6c5 a6c8 c5c4,1710,Sacrificio Posicional Maestro,crushing master masterVsMaster middlegame sacrifice short,Defensa Eslava: Sacrificio posicional en partida de maestros.,5,Lichess,https://lichess.org/fNCePFgY#37
001xl,8/4R1k1/p5pp/3B4/5q2/8/5P1P/6K1 b - - 5 40,g7f6 e7f7 f6e5 f7f4,1105,Rayos X Ganando Dama,advantage endgame master masterVsMaster short skewer superGM,Rayos X (enfilada) para ganar la dama en el final.,5,Lichess,https://lichess.org/bEQkfPQD/black#80
002CP,r5k1/pp4pp/4p1q1/4p3/3n4/P5P1/1PP2Q1P/2KR1R2 w - - 4 24,f2e3 g6c2,926,Mate Flanco de Dama,endgame mate mateIn1 oneMove queensideAttack,Mate en 1 movimiento atacando el flanco de dama.,5,Lichess,https://lichess.org/pHZnIFdb#47
002Ds,8/1pp5/p2p4/P2Pk2p/1PP1p2P/2n1K2P/3N4/8 b - - 0 45,b7b6 b4b5 c3d1 e3e2 a6b5 a5a6,1980,Estrategia Final de Caballos,crushing endgame knightEndgame long,Final de caballos largo y estratégico.,5,Lichess,https://lichess.org/2SrvOtZN/black#90
002GQ,5rk1/5ppp/4p3/4N3/8/1Pn5/5PPP/5RK1 w - - 0 28,f1c1 c3e2 g1f1 e2c1,654,Tenedor Básico Final,crushing endgame fork short,Tenedor básico en final de partida (muy fácil).,5,Lichess,https://lichess.org/2K7g2pDT#55
002HE,1qr2rk1/1p1p1ppp/pB2p1n1/7n/2P1P3/1Q2NP1P/PP2B1Pb/3R1RK1 w - - 1 20,g1f2 b8g3,1206,Mate en Uno Maestro,master mate mateIn1 middlegame oneMove,Mate en 1 jugada en posición de medio juego.,5,Lichess,https://lichess.org/U21EXYdv#39
002Hv,8/8/8/3N2p1/5b2/3p3P/5kP1/3K4 w - - 16 56,d5f4 g5f4 h3h4 f2g2 h4h5 f4f3 d1d2 f3f2,1603,Peón Avanzado Decisivo,advancedPawn crushing endgame veryLong,Final largo con peón avanzado decisivo.,5,Lichess,https://lichess.org/rLJ8Hp1v#111
002IE,r3brk1/5pp1/p1nqpn1p/P2pN3/2pP4/2P1PN2/5PPP/RB1QK2R b KQ - 4 16,c6e5 d4e5 d6e7 e5f6,1205,Tenedor Sencillo Medio Juego,advantage fork middlegame short,Apertura de Peón de Dama: Táctica de ataque doble (tenedor) sencilla.,5,Lichess,https://lichess.org/fDwvVUIp/black#32
002KJ,r3kb1r/ppq2ppp/4pn2/2Ppn3/1P4bP/2P2N2/P3BPP1/RNBQ1RK1 b kq - 2 10,f8e7 f3e5 c7e5 e2g4,1643,Ganancia por Descubierta,crushing discoveredAttack middlegame short,Defensa Caro-Kann: Ataque a la descubierta para ganar material.,5,Lichess,https://lichess.org/2NpTzh7O/black#20
002LF,7r/p2q1pk1/1pp3p1/8/6P1/4Q3/PP1R1P1r/5KN1 b - - 0 38,d7g4 e3e5 f7f6 e5c7 g7h6 c7h2,2145,Interferencia Táctica Final,advantage endgame interference long,Interferencia táctica en final complejo.,5,Lichess,https://lichess.org/md88dHiL/black#76
002LW,3r1rk1/1b1n1pp1/3p4/p4PPQ/4P3/3d3/8/2R2RK1 b - - 1 28,d7e5 f5f6 e5f3 f1f3,2464,Ventaja Posicional Alta,advantage middlegame short,Táctica de alto nivel para obtener ventaja posicional.,5,Lichess,https://lichess.org/0khwj5dv/black#56
002Mm,rn1qr1k1/ppp3pQ/3p1pP1/3Pp3/2P1P3/8/PP3PP1/R1B1K3 b Q - 2 16,g8f8 h7h8 f8e7 h8g7,1276,Desviación para Mate,deflection mate mateIn2 middlegame short,Apertura de los Tres Caballos: Desviación del rey para lograr mate en 2.,5,Lichess,https://lichess.org/wAkPv4uG/black#32
002O7,r3qrk1/2p2pp1/p2bpn1p/2pp5/3P1P2/1PP1P1B1/P2N2PP/R2Q1RK1 b - - 0 14,f5g4 e5g4 f6g4 d1g4,966,Victoria Rápida Medio Juego,crushing middlegame short,Apertura de Peón de Dama: Victoria rápida y decisiva en el medio juego.,5,Lichess,https://lichess.org/dFEPPiEc/black#28
002Q2,7k/p4R1p/3p3r/2pN1n2/2PbBBb1/3P2P1/P3r3/5R1K w - - 1 28,f4h6 f5g3,872,Mate en la Esquina,cornerMate mate mateIn1 middlegame oneMove,Mate en la esquina en 1 jugada.,5,Lichess,https://lichess.org/yqAJ1jMv#55
002Tf,r3kbnr/ppp1qppp/2n5/3pP3/5B2/4PQ2/PPP2PPP/RN2KB1R w KQkq - 1 7,f1b5 e7b4 b1c3 b4b2,1564,Trampa de Tenedor Apertura,advantage fork opening short,Apertura de Peón de Dama: Trampa de apertura utilizando un tenedor.,5,Lichess,https://lichess.org/Zq56PwHK#13
002Ua,r4rk1/pp3ppp/3p1q2/P1P1p3/2B5/2B2n2/2P2P1P/R1Q11RK1 w - - 0 16,g1h1 f6f4 d1f3 f4f3,1817,Ataque Fuerte Flanco Rey,crushing kingsideAttack middlegame short,Defensa Siciliana: Ataque fuerte al flanco de rey para ventaja.,5,Lichess,https://lichess.org/06i3eMVp#31
002Uy,8/8/1p6/k7/P1R5/1K5r/8/8 w - - 26 64,c4c3 h3c3 b3c3 a5a4 c3b2 a4b4,1615,Defensa Precisa Torres,crushing defensiveMove endgame long rookEndgame,Defensa precisa en final de torres largo.,5,Lichess,https://lichess.org/sLU7YN1A#127
002VP,8/6p1/2B1bn2/6k1/3B4/6K1/4P3/8 b - - 4 44,e6d5 d4f6 g5f5 c6d5,1469,Victoria Táctica Contundente,crushing endgame short,Final con victoria táctica contundente.,5,Lichess,https://lichess.org/7yJGEbUK/black#88
002Z9,4r1k1/1p2R1p1/p2p2Pp/P1pP4/5q2/1P3p2/1P1Q3P/5B1K b - - 0 34,f4d2 e7e8,1231,Mate con Pieza Colgada,endgame hangingPiece master mate mateIn1 oneMove,Mate en 1 aprovechando pieza colgada en el final.,5,Lichess,https://lichess.org/Ek4aENjD/black#68
002bK,8/7p/2b1k3/p2p1pPB/1n1P3P/N1p1P3/4K3/8 b - - 1 42,c6b5 a3b5 c3c2 e2d2,1125,Ganancia Material Final,advantage endgame hangingPiece short,Ganancia de material (pieza colgada) en el final.,5,Lichess,https://lichess.org/IFGj8W5s/black#84
002e5,r2q4/pp1n1kbp/3P2b1/6N1/6Q1/3P3/6P1/4K2R b K - 1 21,f7g8 g4c4 g8h8 h1h7 g6h7 g5f7,2619,Sacrificio Complejo GM,crushing long middlegame sacrifice,Sacrificio complejo de nivel Gran Maestro.,5,Lichess,https://lichess.org/qaapuG48/black#42
002e8,r3nrk1/1b3pp1/4pb2/p3q3/1p1N4/3B2R1/PPPQN2P/1K4R1 b - - 1 23,a8d8 d2h6 g7g6 g3h3,2348,Defensa y Clavada,crushing defensiveMove master middlegame pin short,Defensa y clavada de alto nivel en medio juego.,5,Lichess,https://lichess.org/ygzu5djr/black#46
002mG,5r1k/B1p3pp/2Qb1p2/3Pq3/P6P/8/2P3K1/3R1R2 w - - 1 36,g2f2 f8e8 c6e8 e5e8,2245,Jugada Tranquila Decisiva,advantage middlegame quietMove short,Jugada tranquila decisiva en posición experta.,5,Lichess,https://lichess.org/age2hanq#71
002p5,r1bqr1k1/pp1nbpp1/2p2n2/6P1/2BP4/P7/1PQ2PP2/R3K2R b KQ - 0 13,f6d5 c2h7 g8f8 h7h8,899,Ataque Mate Apertura,kingsideAttack mate mateIn2 middlegame short,Defensa Francesa: Ataque de mate en 2 jugadas al rey en apertura.,5,Lichess,https://lichess.org/meSoQkhU/black#26
002rd,r6k/q1pb1p1p/1b3Pr6/p1ppP2Q/3P2p1/4B3/PP2NRPP/3R1K1 b - - 1 25,d7e6 e2f4 c5d4 f4g6 f7g6 h5h6,1795,Clavada Fuerte al Rey,crushing kingsideAttack long middlegame pin,Ataque al rey utilizando una clavada fuerte.,5,Lichess,https://lichess.org/NcD6lul8/black#50
002uV,r2r2k1/1p2qppp/2n1p3/5n2/p2P4/P3Q1N2/BP3PPP/2R1R1K1 w - - 4 20,d3f5 e6f5 e1e7 c6e7,1589,Ventaja en Medio Juego,advantage middlegame short,Obtención de ventaja en el medio juego.,5,Lichess,https://lichess.org/WKH5eIti#39
002vV,8/6k1/2R4p/5p1P/5P1K/6P1/8/r7 w - - 2 58,c6b6 a1h1,490,Mate de Torre Básico,endgame master mate mateIn1 oneMove rookEndgame,Mate en 1 con torre en final (muy básico).,5,Lichess,https://lichess.org/KB7FAntf#115
002xh,2nk4/8/2PBp1n1/1pK1P1p1/1P4P1/8/8/8 b - - 2 42,g6h4 c5b5 h4g2 b5a6 g2e3 a6b7,2065,Final Aplastante Experto,crushing endgame long,Final largo y aplastante nivel experto.,5,Lichess,https://lichess.org/TfRvsd3p/black#84
0030b,6k1/5ppp/5nb6/pp6/6rP/5N1Q/P2r1P1/3R2RK b - - 4 32,g6e4 d1d8 f6e8 d8e8,617,Mate Pasillo Básico,backRankMate mate mateIn2 middlegame short,Mate del pasillo en 2 jugadas (básico).,5,Lichess,https://lichess.org/mhIZR6Mc/black#64
00347,8/2p5/8/2pPk2p/8/4K2P/6P1/8 w - - 1 42,e3d3 h5h4 d3c4 e5d6,2264,Final Peones Sutil,crushing endgame pawnEndgame quietMove short,Final de peones sutil y avanzado.,5,Lichess,https://lichess.org/xFM0YP9S#83
0039T,1r5r/p3kp2/4p2p/4P3/3R1Pp1/6P1/P1P4P/4K2R w K - 1 25,d4a4 b81 e1f2 b1h1 a4a7 e7f8,1081,Enfilada Defensiva Torres,crushing defensiveMove endgame long rookEndgame skewer,Rayos X (enfilada) defensiva en final de torres.,5,Lichess,https://lichess.org/BrtVeJlj#49
003AX,2r2rk1/5ppp/bq2p3/p1ppP1N1/Pb1P2P1/1P2P2P/2QN4/2R1K2R b K - 1 18,c5d4 c2h7,966,Mate Atacando al Rey,kingsideAttack mate mateIn1 middlegame oneMove,Defensa Francesa: Mate en 1 jugada atacando al rey.,5,Lichess,https://lichess.org/kRgejRSt/black#36
003IX,8/3pk3/R7/1R2Pp1p/2PPnKr1/8/8/8 w - - 4 43,f4f5 e4g3,1713,Mate Final Un Movimiento,endgame mate mateIn1 oneMove,Mate en 1 movimiento en final de partida.,5,Lichess,https://lichess.org/576Btq56#85
003Jb,6k1/3bqr1p/2rpp1pR/p7/Pp1QP3/1B3P2/1PP3P1/2KR4 w - - 6 22,d4a7 e7g5 c1b1 g5h6,993,Tenedor Sencillo Maestro,advantage fork master middlegame short,Ataque doble (tenedor) sencillo en medio juego.,5,Lichess,https://lichess.org/8RvK0idj#43
003S3,r4k1r/pNqnppb1/6pn/2p3Np/7P/2P2Q2/PP3PP1/R1B1K2R b KQ - 2 15,a8b8 g5e6 f8g8 e6c7,1437,Ventaja por Clavada,advantage middlegame pin short,Defensa Moderna: Explotación de clavada para ganar ventaja.,5,Lichess,https://lichess.org/Eu6S0GPA/black#30
003Tx,2r5/pR5p/5p1k/4p3/4r3/3B4/PP3P2/1K2R3 w - - 0 27,e1e4 f3d2 b1a1 c8c1,1518,Mate Pasillo y Tenedor,backRankMate endgame fork mate mateIn2 short,Mate del pasillo y tenedor combinado en 2 jugadas.,5,Lichess,https://lichess.org/A7j9VEC0#53
003UW,8/6pk/7p/2p5/2qp4/5PP1/P3QK1P/8 b - - 1 40,c4d5 e2e4 d5e4 f3e4,1457,Ventaja Final de Damas,advantage endgame queenEndgame short,Final de damas con ventaja clara.,5,Lichess,https://lichess.org/cXMga3rb/black#80
003YF,r4rk1/1pp2ppp/p2p4/2bPp3/2P1Pn1q/P1N2B2/1P3P2/R1BQK11R w Q - 1 15,c1f4 h4f2,1054,Mate en f2,attackingF2F7 mate mateIn1 middlegame oneMove,Defensa Mexicana: Mate en 1 atacando el punto f2.,5,Lichess,https://lichess.org/5DK4vDDB#29
003aS,8/8/5k1p/6p1/1R4PP/1p2KP2/8/1r6 w - - 0 43,h4h5 b3b2 b4b6 f6e5 f3f4 g5f4,2014,Torres y Peón Avanzado,advancedPawn crushing defensiveMove endgame long rookEndgame,Final de torres difícil con peón avanzado.,5,Lichess,https://lichess.org/I7ZktFeR#85
003cs,2r1kbnr/pp4pp/4p3/3pP1N1/3q4/1P2B3/P3Q1PP/1N3RK1 b k - 1 16,d4e5 f1f8 e8f8 e3c5 c8c5 e2e5 c5c1 g1f2,1986,Atracción y Descubierta,advantage attraction discoveredAttack exposedKing middlegame sacrifice veryLong,Defensa Caro-Kann: Atracción y ataque a la descubierta complejo.,5,Lichess,https://lichess.org/PmRTKflq/black#32
003eP,8/r1b1q2k/2p3p1/2Pp4/1P2p1n1/2B1P3/NQ2/2K4R b - - 1 36,h7g8 h1h8 g8f7 h8h7 f7e8 h7e7,1156,Rayos X Rey Expuesto,crushing exposedKing long middlegame skewer,Ataque de rayos X (enfilada) al rey expuesto.,5,Lichess,https://lichess.org/n9vCFmKh/black#72
003if,8/3q1kpp/1P2p3/4E3/5P2/4E3/2r3PK/8 b - - 0 43,d7b7 e5h5 f7e7 e3c5 c2c5 h5c5,1664,Consolidar Ventaja Final,advantage endgame long,Final largo para consolidar ventaja.,5,Lichess,https://lichess.org/mYGtlm6w/black#86
003jH,rn3rk1/p5pp/3N4/4np1q/5Q2/1P3K2/PB1P2P1/2R4R w - - 0 25,f3f2 e5d3 f2e3 d3f4 h1h5 f4h5,1067,Tenedor Largo Ganador,crushing fork long middlegame,Tenedor largo para ganar material en medio juego.,5,Lichess,https://lichess.org/3CQGofXT#49
